,Y
0,0.3019844788
1,0.2199158951
2,0.2977130771
3,0.2460111012
4,0.1971873924
5,0.007857620400000001
6,0.0
7,0.0193344072
8,0.0079505661
9,0.0
10,0.0
11,0.012390893
12,0.0062238915
13,0.0
14,0.0015420701
15,0.0
16,0.0
17,0.0028384962
18,0.9971087815999999
19,0.0104342529
20,0.0672287831
21,0.0
22,0.0153391954
23,1.0
24,0.0
25,0.0
26,0.0
27,0.0120648822
28,0.0
29,0.0013353328
30,0.0037476690000000003
31,0.0079950511
32,0.0
33,0.020873083
34,0.0
35,0.2122231914
36,0.0016249976999999998
37,0.0
38,0.3094036364
39,0.0011365155
40,0.0
41,0.0074568717
42,0.0025138654000000002
43,0.0038250404999999998
44,0.0
45,0.0
46,0.0
47,0.057720920499999995
48,0.10758619960000002
49,0.1264493415
50,0.0172923027
51,0.0
52,0.0
53,0.127907037
54,0.025644232599999997
55,0.008441762700000001
56,0.022869442200000003
57,0.0
58,0.06964398849999999
59,0.0
60,0.0
61,0.0225349931
62,0.0070848316
63,0.0230477082
64,0.043181600300000005
65,0.0
66,0.0
67,0.012228588700000001
68,0.0152054654
69,0.0225993359
70,0.0352302428
71,0.0385894642
72,0.0227952075
73,0.016098995300000002
74,0.010890196699999998
75,0.010215060699999999
76,0.0113723559
77,0.0188164365
78,0.0
79,0.01068781
80,0.0
81,0.0
82,0.0107882207
83,0.24113442780000002
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0055269935
90,1.0
91,0.0
92,0.0
93,0.0345118376
94,0.0
95,0.12258329779999999
96,0.0
97,0.0338922
98,0.021455725
99,0.032415297
100,0.0
101,0.0178839347
102,0.0158495534
103,0.0021880023
104,0.030326807200000003
105,0.0
106,0.4931391821
107,0.0342206079
108,0.0
109,0.4259810601
110,0.0331746576
111,0.1326718507
112,0.1334999965
113,0.0526868624
114,0.5517827169
115,0.0077214031
116,0.0
117,0.0
118,0.0
119,0.0
120,0.2632267972
121,0.0174930279
122,0.1218626615
123,0.092311511
124,0.0
125,0.0
126,0.1209535464
127,0.0610212299
128,0.009484764
129,0.6013633589
130,0.0247678398
131,0.0200235149
132,0.0
133,0.0348294904
134,0.0255283483
135,0.0057119512
136,0.0
137,0.0028659362
138,0.5390452162
139,0.0214477413
140,0.0418532509
141,0.0
142,0.0173925546
143,0.0
144,0.0884554058
145,0.9722230187
146,0.0491409655
147,0.0169613561
148,0.0
149,0.0
150,0.5361890044
151,0.1911075153
152,0.0
153,0.0
154,0.4927179924
155,0.23203982550000002
156,0.0016322361999999999
157,0.1605161683
158,0.19352696960000002
159,0.0
160,0.0534916884
161,0.23367346379999998
162,0.0
163,0.2152105192
164,0.3425721353
165,0.014354426200000001
166,0.0202515077
167,0.0012345364
168,0.008330056
169,0.09265566830000001
170,0.5380695571999999
171,0.009156089499999999
172,0.0
173,0.004140214000000001
174,0.0049955134
175,0.012839266799999999
176,0.0336680945
177,0.0219085817
178,0.1590273482
179,0.27538962510000004
180,0.0
181,0.2511178765
182,0.2205907168
183,0.0
184,0.0200930487
185,0.034765470699999995
186,0.020116532700000002
187,0.0
188,0.0
189,0.5247692628
190,0.0
191,0.0
192,0.1717188529
193,0.0
194,0.0164588039
195,0.0
196,0.0
197,0.0
198,0.0
199,0.006772799699999999
200,0.0
201,0.0
202,0.0204230883
203,0.0183689766
204,0.0432386096
205,0.5292580533
206,0.0646190121
207,0.0330243269
208,0.04622915650000001
209,0.1312526773
210,0.0330309236
211,0.025284047400000002
212,0.0029946924
213,0.0
214,0.0016840171
215,0.0
216,0.0
217,0.015904384
218,0.2093312662
219,0.2970155782
220,0.0
221,0.0096260609
222,0.0678491365
223,0.0128826694
224,0.0844956526
225,0.0
226,0.0339524017
227,0.0479946416
228,0.0
229,0.0
230,0.49837482229999996
231,0.17112531620000002
232,0.0035646087
233,0.4819749348
234,0.0393978136
235,0.22825123239999998
236,0.0
237,0.0
238,0.0
239,0.0
240,0.1153836741
241,0.4321521311
242,0.044718803
243,0.0
244,0.0
245,0.0
246,0.0146786432
247,0.2192189955
248,0.5499132125
249,0.0041541869
250,0.0426735693
251,0.2327742882
252,0.1608446521
253,0.1245102282
254,0.0
255,0.0
256,0.0
257,0.0741439219
258,0.0
259,0.0
260,0.0150581085
261,0.043279522
262,0.0272902311
263,0.6729445901000001
264,0.046976078399999996
265,0.0872955351
266,0.0
267,0.019852003400000002
268,0.0050499402
269,0.0045934423
270,0.0425939901
271,0.26486359309999996
272,0.15573038390000002
273,0.1162019584
274,0.0086491938
275,0.0387892871
276,0.1041073032
277,0.0
278,0.3348017556
279,0.19812024579999998
280,0.0065834153
281,0.172678227
282,0.0
283,0.1342610937
284,0.0
285,0.1652901382
286,0.0
287,0.1120483957
288,0.021970782
289,0.1046655414
290,0.0
291,0.0330448773
292,0.0
293,0.25255954210000003
294,0.6528557378000001
295,0.0838294853
296,0.0032308331
297,0.0221446808
298,0.0064767483
299,0.0
300,0.01017697
301,0.0
302,0.0
303,0.0081499968
304,0.0
305,0.0
306,0.0133936122
307,0.0
308,0.0410955162
309,0.031713906
310,0.0
311,0.0014703139
312,0.0
313,0.0
314,0.0
315,0.0219957142
316,0.0
317,0.059546935499999995
318,0.23722053280000002
319,0.3445740719
320,0.0371264557
321,0.0029278803000000004
322,0.0296017788
323,0.0297240358
324,0.0
325,0.0
326,0.0
327,0.5070143626
328,0.0050152608
329,0.0118693497
330,0.0031913057
331,0.0109972412
332,0.0109972412
333,0.0110039498
334,0.011009071799999999
335,0.0
336,0.0
337,0.0
338,0.0
339,0.007758109399999999
340,0.0
341,0.0
342,0.016879569
343,0.0077193487
344,0.0
