,LoanID,MonthRep,Servicer,CurrInterestRate,CAUPB,LoanAge,MonthsToMaturity,AdMonthsToMaturity,MaturityDate,MSA,CLDS,ModFlag,ZeroBalCode,ZeroBalDate,LastInstallDate,ForeclosureDate,DispositionDate,ForeclosureCosts,PPRC,AssetRecCost,MHEC,ATFHP,NetSaleProceeds,CreditEnhProceeds,RPMWP,OFP,NIBUPB,PFUPB,RMWPF,FPWA,ServicingIndicator,Arrears,Arrears_3m,Arrears_6m,Arrears_9m,Arrears_12m,0
810211,111431055967.0,12/01/2017,,3.5,169264.56,62.0,298.0,298.0,10/2042,21660,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
874582,112306401763.0,12/01/2016,,4.5,264708.2,49.0,311.0,307.0,11/2042,40140,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
122967,101804477691.0,06/01/2017,,3.875,177558.83,65.0,295.0,292.0,01/2042,35620,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
338544,104855844245.0,09/01/2016,,3.375,119867.16,48.0,312.0,300.0,09/2042,16980,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
618788,108807289111.0,12/01/2016,,3.75,239324.17,57.0,303.0,303.0,03/2042,27500,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
582172,108306752611.0,06/01/2016,,4.5,188529.16,35.0,325.0,320.0,07/2043,35660,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
165424,102362925293.0,09/01/2016,,3.99,303290.97,49.0,311.0,291.0,08/2042,33100,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
989467,113977679097.0,03/01/2017,,3.875,200572.92,54.0,306.0,305.0,09/2042,12580,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
253839,103652166589.0,12/01/2016,,4.5,133116.77,51.0,309.0,304.0,09/2042,40140,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
322447,104626895236.0,09/01/2016,,3.875,201889.98,55.0,185.0,171.0,02/2032,00000,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,1.0,
