,LoanID,MonthRep,Servicer,CurrInterestRate,CAUPB,LoanAge,MonthsToMaturity,AdMonthsToMaturity,MaturityDate,MSA,CLDS,ModFlag,ZeroBalCode,ZeroBalDate,LastInstallDate,ForeclosureDate,DispositionDate,ForeclosureCosts,PPRC,AssetRecCost,MHEC,ATFHP,NetSaleProceeds,CreditEnhProceeds,RPMWP,OFP,NIBUPB,PFUPB,RMWPF,FPWA,ServicingIndicator,Arrears,Arrears_3m,Arrears_6m,Arrears_9m,Arrears_12m,0
251513,103617372732.0,03/01/2016,,4.875,321829.3,56.0,304.0,0.0,07/2041,31080,1.0,N,1.0,03/2016,,,,,,,,,,,,,,,N,,,1.0,1.0,2.0,2.0,2.0,
725626,110289533090.0,09/01/2017,,4.0,152264.6,58.0,302.0,271.0,11/2042,40900,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
329277,104732686906.0,12/01/2016,,4.0,122288.52,57.0,303.0,303.0,03/2042,20700,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
183126,102633898570.0,06/01/2016,,4.125,255157.55,37.0,323.0,319.0,05/2043,40900,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,1.0,1.0,
218150,103113717717.0,03/01/2017,,3.625,117289.83,46.0,194.0,187.0,05/2033,00000,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
869773,112250400148.0,09/01/2016,,4.375,98941.81,55.0,305.0,247.0,02/2042,33460,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,3.0,
915764,112900459009.0,09/01/2016,,3.0,121564.21,43.0,137.0,0.0,02/2028,27260,1.0,N,1.0,09/2016,,,,,,,,,,,,,,,N,,,1.0,1.0,1.0,1.0,1.0,
563620,108028808142.0,06/01/2016,,3.125,190221.1,40.0,140.0,139.0,02/2028,42200,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,1.0,1.0,
579894,108270404626.0,12/01/2017,,5.25,85232.73,80.0,280.0,279.0,04/2041,00000,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
280854,104055982938.0,03/01/2016,,3.125,232784.1,35.0,145.0,145.0,04/2028,44700,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
335901,104820987708.0,12/01/2016,,3.75,128269.23,41.0,319.0,319.0,07/2043,22220,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
55677,100822183425.0,09/01/2016,,4.625,66719.37,52.0,308.0,308.0,05/2042,17020,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
847759,111934342937.0,09/01/2017,,2.875,87689.55,55.0,125.0,124.0,02/2028,27100,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
353801,105055641032.0,03/01/2017,,3.125,107699.55,55.0,125.0,125.0,08/2027,12060,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
46248,100679913132.0,03/01/2017,,4.375,94918.91,44.0,316.0,316.0,07/2043,16980,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
688611,109761393807.0,12/01/2017,,5.375,8123.85,81.0,279.0,7.0,03/2041,35620,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
675577,109582959280.0,03/01/2016,,4.625,82671.51,48.0,240.0,239.0,03/2036,41060,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,3.0,4.0,4.0,
308266,104435370335.0,09/01/2016,,3.875,170041.17,51.0,189.0,185.0,06/2032,16980,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
405249,105798057909.0,06/01/2017,,4.5,51275.4,59.0,301.0,300.0,07/2042,36740,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
514301,107328830727.0,03/01/2016,,3.875,215390.38,36.0,228.0,222.0,03/2035,36740,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
734175,110405034172.0,09/01/2017,,3.5,212999.73,55.0,472.0,,01/2057,16740,0.0,Y,,,,,,,,,,,,,,,0.0,,,,N,0.0,0.0,0.0,3.0,6.0,
11717,100185573267.0,09/01/2017,,3.5,323317.56,51.0,189.0,189.0,06/2033,34980,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
778384,110981662316.0,12/01/2016,,4.5,236323.45,53.0,307.0,307.0,07/2042,33100,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
379772,105415766723.0,09/01/2017,,4.25,258102.47,64.0,296.0,293.0,05/2042,40140,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
841888,111861392436.0,09/01/2016,,4.375,312215.97,57.0,303.0,288.0,12/2041,40140,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,1.0,
186194,102679805053.0,03/01/2016,,4.625,289725.4,42.0,318.0,314.0,09/2042,45300,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
390813,105593812830.0,06/01/2016,,4.25,91996.25,47.0,313.0,311.0,07/2042,19660,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
723986,110271254637.0,06/01/2016,,3.875,233799.8,41.0,319.0,319.0,01/2043,35620,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
661530,109394152642.0,03/01/2016,,3.5,110892.93,42.0,138.0,131.0,09/2027,33460,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
354156,105066151512.0,12/01/2016,,5.125,237769.69,81.0,279.0,279.0,03/2040,39300,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
498914,107118665283.0,06/01/2016,,4.75,168256.53,47.0,313.0,313.0,07/2042,38060,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
392685,105619375422.0,06/01/2017,,3.25,66641.87,52.0,128.0,101.0,02/2028,12060,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
126679,101846087800.0,03/01/2017,,4.25,165303.03,59.0,301.0,300.0,04/2042,47300,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
715248,110150869559.0,06/01/2016,,3.75,97982.38,43.0,197.0,197.0,11/2032,12060,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
198760,102867333819.0,09/01/2017,,5.125,242176.55,76.0,224.0,220.0,05/2036,00000,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
665325,109450862975.0,06/01/2017,,3.5,69682.0,49.0,191.0,187.0,05/2033,29620,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
242217,103467669095.0,03/01/2016,,3.0,130452.51,43.0,137.0,136.0,08/2027,28740,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
948013,113378638521.0,03/01/2016,,4.875,89334.05,65.0,175.0,157.0,10/2030,40980,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
192250,102774638731.0,12/01/2016,,3.625,358780.44,18.0,162.0,162.0,06/2030,40380,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
116283,101698474253.0,09/01/2016,,3.625,167000.77,45.0,315.0,307.0,12/2042,33100,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,1.0,
564148,108033636915.0,03/01/2016,,4.25,95296.68,44.0,316.0,316.0,07/2042,16980,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
293902,104228765001.0,06/01/2017,,4.875,135651.02,75.0,285.0,285.0,03/2041,42660,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
862309,112138528717.0,06/01/2017,,4.25,283082.9,63.0,297.0,296.0,03/2042,35620,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
375145,105364996499.0,06/01/2017,,4.48,340655.38,53.0,307.0,307.0,01/2043,33460,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
207864,102982013062.0,12/01/2016,,4.625,229731.88,52.0,308.0,304.0,08/2042,29820,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
695222,109868064253.0,03/01/2016,,4.5,354285.25,63.0,297.0,275.0,12/2040,33460,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,1.0,1.0,1.0,
202543,102917445039.0,12/01/2017,,5.25,115935.89,52.0,308.0,305.0,08/2043,12060,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
185973,102678486518.0,03/01/2017,,4.75,228118.78,42.0,318.0,318.0,09/2043,38060,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
216585,103090457277.0,12/01/2017,,4.125,242415.03,40.0,200.0,200.0,08/2034,38900,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
302500,104355657138.0,09/01/2017,,4.375,112012.62,61.0,299.0,299.0,08/2042,28140,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
321079,104612559220.0,12/01/2016,,3.625,153312.75,49.0,311.0,282.0,11/2042,00000,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
761686,110750296989.0,12/01/2017,,3.375,75178.41,55.0,125.0,123.0,05/2028,17140,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
705086,110007232603.0,06/01/2016,,3.875,120587.71,43.0,317.0,317.0,11/2042,33100,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
339260,104872088696.0,09/01/2017,,3.25,85646.59,55.0,125.0,124.0,02/2028,12060,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
305359,104397546807.0,12/01/2016,,4.0,241817.73,32.0,208.0,207.0,04/2034,42660,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
763750,110773997449.0,03/01/2017,,4.25,131192.31,44.0,196.0,196.0,07/2033,25180,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
210802,103013069373.0,09/01/2016,,4.5,368498.28,72.0,288.0,288.0,09/2040,14740,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
69610,101021200077.0,06/01/2017,,4.0,270814.4,87.0,434.0,,08/2053,14460,0.0,Y,,,,,,,,,,,,,,,0.0,,,,N,0.0,0.0,0.0,0.0,0.0,
72639,101065346424.0,06/01/2017,,4.125,163744.02,53.0,307.0,307.0,01/2043,36740,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
184255,102660003311.0,06/01/2017,,4.0,38509.08,48.0,312.0,167.0,06/2043,40420,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
236997,103383446526.0,06/01/2016,,4.0,201324.98,38.0,322.0,322.0,04/2043,38900,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,1.0,1.0,
537014,107661460510.0,09/01/2017,,3.625,92115.49,55.0,305.0,305.0,02/2043,12540,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
301558,104344251363.0,09/01/2017,,3.5,226505.19,59.0,301.0,301.0,10/2042,00000,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
753109,110643703252.0,09/01/2017,,4.125,139315.02,57.0,303.0,303.0,12/2042,32780,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
549842,107826758815.0,03/01/2017,,4.0,156294.44,44.0,316.0,315.0,07/2043,47260,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
242155,103466850261.0,06/01/2017,,4.375,89902.67,76.0,164.0,137.0,02/2031,37860,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
353376,105054770534.0,03/01/2017,,4.25,145832.22,45.0,315.0,309.0,06/2043,16980,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
43221,100648074612.0,12/01/2016,,5.25,94727.21,82.0,158.0,155.0,02/2030,38300,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
102897,101508346099.0,12/01/2016,,3.75,171848.38,47.0,313.0,313.0,01/2043,39300,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
339673,104877163296.0,09/01/2017,,3.625,134377.11,49.0,191.0,190.0,08/2033,39580,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
141385,102035722915.0,06/01/2017,,3.375,141196.31,55.0,185.0,185.0,11/2032,48900,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
961416,113589169591.0,03/01/2016,,5.125,177208.9,80.0,280.0,279.0,07/2039,14460,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
761512,110749315759.0,12/01/2016,,3.75,277297.03,42.0,318.0,318.0,06/2043,00000,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
608533,108685176412.0,12/01/2017,,4.375,289887.06,64.0,296.0,293.0,08/2042,00000,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
263026,103795775935.0,09/01/2017,,3.275,251422.05,54.0,306.0,302.0,03/2043,00000,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
72549,101063323220.0,09/01/2016,,4.375,300999.28,58.0,302.0,302.0,11/2041,35620,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
548490,107816172098.0,03/01/2016,,3.625,289628.78,35.0,325.0,326.0,04/2043,46520,1.0,N,,,,,,,,,,,,,,,,,,,N,1.0,1.0,1.0,1.0,1.0,
965302,113640408383.0,09/01/2017,,4.375,214929.19,81.0,279.0,230.0,12/2040,45300,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
603840,108624860687.0,12/01/2017,,4.375,156427.56,59.0,181.0,181.0,01/2033,23420,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
44402,100654831854.0,06/01/2016,,3.3,232915.2,52.0,128.0,128.0,02/2027,33460,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
221920,103170252271.0,03/01/2016,,5.0,110345.69,28.0,332.0,332.0,11/2043,31140,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
997002,114081456022.0,12/01/2016,,4.403,126612.89,53.0,127.0,125.0,07/2027,41620,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
25544,100401466509.0,06/01/2017,,4.5,149049.02,60.0,300.0,300.0,06/2042,16980,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
860561,112115764202.0,12/01/2016,,4.125,74112.45,49.0,191.0,183.0,11/2032,12060,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
237789,103391750230.0,12/01/2016,,4.5,64170.08,54.0,306.0,262.0,06/2042,21340,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
439498,106261640272.0,09/01/2017,,4.875,121322.42,70.0,290.0,277.0,11/2041,12060,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
560947,107992062893.0,12/01/2016,,4.125,206339.44,45.0,315.0,315.0,03/2043,46700,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
399880,105723351924.0,09/01/2017,,4.5,135860.95,82.0,278.0,278.0,11/2040,10900,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
600029,108579159078.0,12/01/2016,,4.122,126210.26,52.0,308.0,307.0,08/2042,47300,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
522729,107463488059.0,06/01/2017,,4.25,77599.79,45.0,135.0,133.0,09/2028,29620,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,1.0,1.0,
435991,106218607937.0,09/01/2016,,4.625,189205.31,35.0,325.0,325.0,10/2043,00000,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
491135,107002583282.0,03/01/2017,,4.625,110735.77,65.0,295.0,271.0,10/2041,12220,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
602913,108613046973.0,03/01/2017,,4.5,205430.95,56.0,304.0,303.0,07/2042,35620,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,1.0,
162550,102314654628.0,12/01/2017,,5.375,161121.22,98.0,262.0,148.0,10/2039,33460,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
613234,108737267205.0,03/01/2017,,5.125,178744.08,89.0,271.0,271.0,10/2039,47900,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
20588,100324732762.0,03/01/2016,,4.25,336844.84,46.0,314.0,314.0,05/2042,33460,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
551789,107851093185.0,09/01/2016,,4.5,202435.2,54.0,306.0,306.0,03/2042,44060,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,1.0,
991518,114003266534.0,03/01/2016,,4.875,188192.8,62.0,298.0,298.0,01/2041,00000,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
128251,101865291392.0,06/01/2016,,5.125,249440.2,78.0,282.0,282.0,12/2039,14860,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
436669,106227709270.0,06/01/2016,,4.625,115710.48,30.0,210.0,209.0,12/2033,16980,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
40219,100608014749.0,09/01/2017,,5.375,198678.86,79.0,281.0,281.0,02/2041,19820,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
996563,114076555682.0,03/01/2016,,5.0,154199.16,66.0,294.0,290.0,09/2040,14740,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
289579,104179908581.0,06/01/2016,,2.875,308004.97,36.0,144.0,144.0,06/2028,41740,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
536553,107657801435.0,12/01/2017,,4.75,66650.91,68.0,292.0,284.0,04/2042,16740,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,1.0,1.0,
892708,112559976186.0,09/01/2016,,4.125,69310.56,18.0,222.0,222.0,03/2035,26900,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
653787,109282176537.0,12/01/2016,,4.125,163420.62,50.0,310.0,310.0,10/2042,38060,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
431453,106157466409.0,09/01/2017,,5.0,230091.02,64.0,296.0,295.0,05/2042,29820,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
179255,102581071354.0,06/01/2017,,3.75,125695.91,66.0,114.0,113.0,12/2026,19820,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
928159,113082645278.0,03/01/2016,,5.0,228444.84,14.0,286.0,286.0,01/2040,39820,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
471243,106725365173.0,12/01/2016,,4.75,73727.97,28.0,332.0,332.0,08/2044,00000,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
234259,103344922720.0,09/01/2017,,4.125,256888.8,66.0,294.0,294.0,03/2042,33100,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
343709,104927644251.0,09/01/2016,,3.396,135393.33,55.0,125.0,93.0,02/2027,45220,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
248009,103554983469.0,09/01/2016,,4.375,268852.2,49.0,311.0,311.0,08/2042,40900,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
219892,103139302296.0,12/01/2017,,4.75,98893.62,52.0,308.0,307.0,08/2043,16980,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
177858,102561331327.0,03/01/2017,,4.125,144920.92,49.0,311.0,308.0,02/2043,33700,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
846426,111918530585.0,12/01/2016,,3.625,82016.49,44.0,136.0,132.0,04/2028,40900,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
69679,101022612976.0,06/01/2017,,3.875,299335.06,49.0,311.0,311.0,05/2043,28940,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
64081,100946515573.0,03/01/2016,,4.375,125124.7,44.0,316.0,276.0,07/2042,35840,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
464922,106616837976.0,12/01/2016,,4.6,187245.05,10.0,350.0,349.0,02/2046,29460,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
305197,104394081668.0,09/01/2017,,4.125,217952.67,61.0,299.0,299.0,08/2042,29820,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
962567,113601549601.0,06/01/2017,,4.125,48161.14,47.0,229.0,229.0,07/2036,13820,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
741439,110497093199.0,12/01/2017,,4.75,212555.9,40.0,320.0,315.0,08/2044,14860,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
359200,105126701560.0,06/01/2016,,4.75,201205.52,58.0,302.0,300.0,08/2041,44700,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,1.0,1.0,
435259,106209719316.0,09/01/2016,,4.375,255546.23,58.0,302.0,257.0,11/2041,41860,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,1.0,
201588,102906016639.0,09/01/2016,,3.875,220977.23,44.0,316.0,316.0,01/2043,31080,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
178604,102572041550.0,12/01/2017,,4.5,116008.69,55.0,305.0,305.0,05/2043,25620,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
143680,102064524634.0,06/01/2016,,4.5,146235.58,67.0,293.0,293.0,11/2040,29820,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
858973,112099008267.0,03/01/2016,,5.375,230214.88,61.0,299.0,299.0,02/2041,29820,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
294944,104241802534.0,12/01/2016,,4.125,161355.64,47.0,253.0,250.0,01/2038,19820,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,3.0,6.0,8.0,
224015,103201849104.0,09/01/2016,,4.375,269746.9,49.0,311.0,310.0,08/2042,12540,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,1.0,
727998,110321810434.0,09/01/2016,,3.75,154368.86,45.0,315.0,315.0,12/2042,00000,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
440899,106288562722.0,03/01/2016,,4.375,89593.89,61.0,119.0,119.0,02/2026,19820,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
950053,113411081634.0,09/01/2016,,4.25,163461.47,56.0,304.0,284.0,01/2042,13380,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
907596,112798982583.0,12/01/2016,,3.99,257605.67,50.0,310.0,309.0,10/2042,41740,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
105819,101548486371.0,03/01/2017,,4.5,95758.0,41.0,319.0,318.0,10/2043,45940,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
867634,112213724612.0,06/01/2017,,5.0,130830.86,60.0,300.0,300.0,06/2042,00000,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
62320,100916070346.0,09/01/2016,,3.99,128879.29,46.0,314.0,314.0,11/2042,29820,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
608298,108678794305.0,09/01/2017,,4.875,181582.75,84.0,431.0,,08/2053,31080,0.0,Y,,,,,,,,,,,,,,,0.0,,,,N,0.0,0.0,0.0,0.0,0.0,
29472,100453418741.0,09/01/2017,,4.875,275311.12,77.0,283.0,283.0,04/2041,35620,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
921074,112977964184.0,09/01/2017,,3.99,101507.99,60.0,240.0,238.0,09/2037,12060,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
214843,103066933762.0,06/01/2017,,5.25,96187.29,81.0,159.0,152.0,09/2030,33100,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
921675,112985661378.0,06/01/2016,,4.0,320767.22,55.0,185.0,184.0,11/2031,12060,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
226268,103235103275.0,06/01/2016,,3.875,149053.94,47.0,133.0,133.0,07/2027,12060,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
329886,104742455452.0,09/01/2016,,5.0,141835.75,79.0,161.0,161.0,02/2030,37980,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
438699,106253806705.0,03/01/2016,,4.375,93249.67,49.0,191.0,190.0,02/2032,27260,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
