iter	Logloss
0	0.656985996
1	0.6231215519
2	0.5917369295
3	0.562632323
4	0.536036314
5	0.5119183537
6	0.4889930356
7	0.4682610475
8	0.4492082549
9	0.431052478
10	0.4143166516
11	0.3993587976
12	0.3853908005
13	0.3721793792
14	0.3598054544
15	0.3475378721
16	0.3364955195
17	0.3270766856
18	0.3170014188
19	0.3087549443
20	0.3017404042
21	0.2943783925
22	0.2880371324
23	0.2818286136
24	0.2748492314
25	0.2688533694
26	0.2634911048
27	0.2583030668
28	0.2543149077
29	0.2501947798
30	0.2451629694
31	0.2404612546
32	0.2372539061
33	0.2330878742
34	0.2291121014
35	0.2273134614
36	0.2237894592
37	0.2222677457
38	0.2189195696
39	0.2158528983
40	0.2128504007
41	0.2101282352
42	0.207396588
43	0.204964062
44	0.2029160542
45	0.2010491059
46	0.1991400322
47	0.1971295137
48	0.1955051005
49	0.193946218
50	0.1925945965
51	0.1912274635
52	0.1899221065
53	0.1888058493
54	0.1876619857
55	0.1866146149
56	0.1857747993
57	0.1847575369
58	0.1839862069
59	0.1830878451
60	0.1822029166
61	0.1813893514
62	0.1806334642
63	0.1799500419
64	0.1792917349
65	0.1787217924
66	0.1782115998
67	0.177572051
68	0.1769725672
69	0.1765341446
70	0.176044314
71	0.1756087178
72	0.1751939156
73	0.1748094874
74	0.1741721121
75	0.173434777
76	0.1728581149
77	0.1723410688
78	0.1717019849
79	0.1711672476
80	0.1706697945
81	0.1701668052
82	0.169831944
83	0.1695688509
84	0.1691174705
85	0.168762339
86	0.1684189069
87	0.1680929475
88	0.1678345259
89	0.1675695827
90	0.1672412671
91	0.1669945902
92	0.1666561405
93	0.1664318374
94	0.1662626852
95	0.1659689912
96	0.1656256088
97	0.1654375806
98	0.1652421916
99	0.1650465178
100	0.164932446
101	0.1648125423
102	0.1646513642
103	0.1644697767
104	0.1643059921
105	0.1640558395
106	0.1639603388
107	0.1638600837
108	0.1637478961
109	0.1634508053
110	0.1631177063
111	0.1628474532
112	0.1627091807
113	0.1624375938
114	0.1623256292
115	0.1620857708
116	0.1620222017
117	0.1617960882
118	0.1615403793
119	0.1614271859
120	0.1611414196
121	0.1611129639
122	0.1609839193
123	0.1609285566
124	0.1608708904
125	0.1607023852
126	0.160533505
127	0.1604469937
128	0.1603233011
129	0.1602532908
130	0.1601660905
131	0.1601156179
132	0.1599570857
133	0.1597872715
134	0.1597369884
135	0.1595038537
136	0.1594594882
137	0.1593035001
138	0.1592425009
139	0.1591830661
140	0.1590738471
141	0.1590047567
142	0.1589638485
143	0.158862203
144	0.1588316734
145	0.1587757301
146	0.1586618429
147	0.1584814558
148	0.1583060827
149	0.1582365314
150	0.1581536181
151	0.1580949285
152	0.1579305783
153	0.1577756534
154	0.1575318472
155	0.1573739921
156	0.157196465
157	0.1571291731
158	0.1570005682
159	0.1567904868
160	0.1567280738
161	0.1565899204
162	0.156504917
163	0.1563564716
164	0.1563338179
165	0.1562162022
166	0.156161773
167	0.1560656506
168	0.1560413765
169	0.1559263328
170	0.1559235358
171	0.1558256436
172	0.1557112876
173	0.155645105
174	0.1556239856
175	0.1555724199
176	0.1555063931
177	0.1554797724
178	0.1554276303
179	0.155354342
180	0.1553168359
181	0.1552090814
182	0.155166418
183	0.1551352314
184	0.1550179546
185	0.1549498891
186	0.1548743455
187	0.1548423463
188	0.1548188519
189	0.1547778037
190	0.1547772979
191	0.154736936
192	0.1546924138
193	0.1546213517
194	0.1545739347
195	0.1545396444
196	0.1544282792
197	0.1543942087
198	0.1543626726
199	0.1542965994
