iter	Passed	Remaining
0	142	14127
1	324	15879
2	534	17279
3	717	17226
4	930	17687
5	1127	17661
6	1306	17359
7	1467	16878
8	1633	16514
9	1828	16453
10	2051	16598
11	2219	16273
12	2388	15986
13	2552	15677
14	2748	15573
15	2942	15448
16	3128	15274
17	3291	14995
18	3495	14902
19	3719	14877
20	3923	14760
21	4205	14908
22	4429	14830
23	4640	14696
24	4853	14560
25	5056	14390
26	5249	14192
27	5468	14060
28	5626	13775
29	5873	13704
30	6076	13524
31	6221	13219
32	6382	12958
33	6567	12748
34	6726	12492
35	6848	12174
36	6990	11901
37	7147	11661
38	7285	11395
39	7442	11163
40	7627	10975
41	7841	10828
42	8076	10706
43	8257	10509
44	8405	10273
45	8564	10054
46	8786	9907
47	8944	9690
48	9113	9484
49	9286	9286
50	9456	9086
51	9633	8892
52	9797	8688
53	9945	8472
54	10065	8235
55	10186	8003
56	10315	7781
57	10462	7576
58	10592	7360
59	10720	7146
60	10856	6941
61	11019	6753
62	11194	6574
63	11394	6409
64	11557	6223
65	11727	6041
66	11895	5858
67	12073	5681
68	12234	5496
69	12411	5319
70	12619	5154
71	12842	4994
72	13043	4824
73	13233	4649
74	13425	4475
75	13615	4299
76	13800	4122
77	13966	3939
78	14143	3759
79	14333	3583
80	14553	3413
81	14724	3232
82	14889	3049
83	15059	2868
84	15218	2685
85	15399	2506
86	15562	2325
87	15728	2144
88	15894	1964
89	16075	1786
90	16232	1605
91	16392	1425
92	16558	1246
93	16723	1067
94	16890	888
95	17060	710
96	17228	532
97	17387	354
98	17548	177
99	17715	0
