iter	Passed	Remaining
0	257	4884
1	339	3058
2	427	2421
3	508	2033
4	586	1759
5	670	1563
6	743	1379
7	820	1230
8	902	1102
9	980	980
10	1110	908
11	1187	791
12	1267	682
13	1347	577
14	1423	474
15	1499	374
16	1577	278
17	1657	184
18	1738	91
19	1813	0
