iter	CrossEntropy
0	0.3178228525
1	0.1768960454
2	0.1055267792
3	0.06675092445
4	0.04384098785
5	0.03130427702
6	0.02417278387
7	0.01961502651
8	0.01729486747
9	0.01563739332
10	0.01474772882
11	0.0141354927
12	0.01370880264
13	0.0134554242
14	0.01321207839
15	0.01303112718
16	0.01295524903
17	0.0128014111
18	0.01277690876
19	0.01263031059
