iter	Logloss
0	0.6853611466
1	0.6777615645
2	0.6702911325
3	0.6629626841
4	0.6557756013
5	0.6487176386
6	0.6417944018
7	0.6350196363
8	0.628361278
9	0.6218300854
10	0.6154009396
11	0.6091091138
12	0.6029328548
13	0.5968725329
14	0.5909234151
15	0.5850768898
16	0.5793067477
17	0.5736677668
18	0.5681234365
19	0.5626607941
20	0.5573119958
21	0.552060641
22	0.5469026189
23	0.5418321234
24	0.536833497
25	0.5319295653
26	0.5271230633
27	0.5223683907
28	0.5177133824
29	0.5131327703
30	0.5086236635
31	0.5041719406
32	0.4997991071
33	0.4954905343
34	0.4912791498
35	0.4871184146
36	0.4830474247
37	0.4790292887
38	0.4750693367
39	0.4712016253
40	0.4673667304
41	0.4636110326
42	0.4599169556
43	0.4562815858
44	0.4527026673
45	0.4491687796
46	0.4457041492
47	0.4422801605
48	0.4389157983
49	0.4355896949
50	0.4323206657
51	0.4291217818
52	0.4259624352
53	0.4228538307
54	0.4198067383
55	0.4167997918
56	0.4138114827
57	0.4108957297
58	0.4080026431
59	0.405155421
60	0.4023622735
61	0.3996245459
62	0.3969028144
63	0.3942225712
64	0.3915942705
65	0.3890157068
66	0.3864762146
67	0.3839379802
68	0.3814606956
69	0.3790041029
70	0.3766022133
71	0.3742126954
72	0.3718869608
73	0.369601822
74	0.3673208571
75	0.3651039013
76	0.3628764432
77	0.3607119089
78	0.3585590574
79	0.3564242538
80	0.354328795
81	0.3522749829
82	0.3502774369
83	0.3483094722
84	0.3463490568
85	0.3444358139
86	0.3425441655
87	0.3406914538
88	0.3388038157
89	0.3369891139
90	0.3351827945
91	0.3334347281
92	0.3317123556
93	0.3299900461
94	0.3282851478
95	0.3266107552
96	0.3249536883
97	0.3233113411
98	0.3217120987
99	0.3201483032
